task_type,input_token_length,output_token_length,domain,multimodal,structured_input,numerical_reasoning,multi_turn_conversation,grounding_required,creativity_level,response_factuality,hallucination_rate,faithfulness_score,BLEU_score,ROUGE_score,accuracy_score,latency_ms,token_throughput,context_window,memory_usage_GB,cost_per_1K_tokens,on_prem_support,cloud_provider,gpu_availability,fine_tuning_available,compliance_requirements,bias_score,LLM
Classification,650,83,Medical,1,1,0,0,0,5,3,0.176,0.865,0.428,0.893,0.674,406,174,8192,20.8,0.01705,0,GCP,1,0,GDPR,0.262,Mistral
Code Generation,704,624,Medical,1,1,0,0,0,1,4,0.054,0.621,0.662,0.689,0.745,1291,578,8192,16.2,0.00463,0,Azure,0,0,None,0.819,Mistral
Text Generation,950,1547,Medical,0,0,1,1,1,5,4,0.281,0.874,0.62,0.405,0.523,957,807,16384,25.5,0.01963,1,GCP,0,1,GDPR,0.444,Mistral
Summarization,63,405,Finance,0,1,1,0,0,1,2,0.132,0.759,0.423,0.798,0.558,815,332,4096,5.5,0.01351,1,OpenAI,1,0,HIPAA,0.189,Claude
Summarization,182,990,Medical,0,1,0,0,1,4,4,0.265,0.864,0.357,0.588,0.56,529,375,4096,38.9,0.01636,0,AWS,1,1,GDPR,0.733,Mistral
Classification,248,1780,Medical,1,1,1,0,1,5,3,0.111,0.882,0.43,0.658,0.53,143,19,8192,18.1,0.01387,1,OpenAI,0,0,None,0.993,Mistral
Text Generation,943,858,Legal,1,0,0,0,1,2,2,0.248,0.793,0.26,0.489,0.909,728,318,4096,20.4,0.01234,0,AWS,1,0,GDPR,0.57,Claude
Classification,751,1759,Legal,0,0,0,1,1,4,3,0.15,0.907,0.234,0.892,0.925,1062,743,8192,30.0,0.00617,1,GCP,0,0,None,0.558,Claude
Text Generation,277,1121,Finance,0,1,1,0,0,5,1,0.184,0.942,0.658,0.3,0.781,122,852,16384,17.1,0.01549,0,OpenAI,1,0,HIPAA,0.275,GPT
Text Generation,435,444,Legal,1,0,1,1,0,3,5,0.233,0.657,0.432,0.585,0.695,121,393,4096,16.9,0.01089,1,AWS,1,0,HIPAA,0.18,Mistral
Summarization,22,1778,Legal,1,0,0,1,1,2,5,0.248,0.862,0.473,0.971,0.855,77,627,8192,4.6,0.01336,0,OpenAI,1,1,None,0.681,Mistral
Text Generation,234,660,General,0,1,0,1,0,4,2,0.174,0.763,0.171,0.834,0.717,331,869,8192,13.2,0.00543,1,AWS,1,1,HIPAA,0.513,Claude
Classification,318,1586,Legal,1,0,0,1,0,5,3,0.066,0.739,0.412,0.966,0.854,437,159,4096,12.8,0.00322,1,AWS,1,1,HIPAA,0.511,Claude
Text Generation,499,697,General,0,1,0,0,0,1,4,0.216,0.7,0.318,0.738,0.83,1169,126,16384,24.4,0.01657,0,OpenAI,1,0,HIPAA,0.294,Claude
Summarization,102,277,Technical,1,0,0,0,0,5,4,0.297,0.667,0.556,0.579,0.909,1105,426,4096,31.4,0.00907,0,OpenAI,1,1,HIPAA,0.545,Claude
Summarization,816,965,Technical,0,0,0,0,1,1,4,0.152,0.664,0.787,0.343,0.528,1063,830,4096,10.6,0.01553,0,AWS,1,0,HIPAA,0.238,GPT
Text Generation,709,1820,Legal,1,0,0,1,0,5,2,0.212,0.928,0.585,0.87,0.88,457,211,16384,22.4,0.01358,1,GCP,0,0,HIPAA,0.623,GPT
Text Generation,446,1794,General,0,0,0,1,0,5,2,0.208,0.601,0.462,0.342,0.96,797,101,16384,28.9,0.00731,1,GCP,0,1,HIPAA,0.276,Claude
Classification,148,419,General,0,1,0,1,1,1,4,0.29,0.845,0.613,0.165,0.653,595,247,16384,12.2,0.01375,0,AWS,1,0,HIPAA,0.486,GPT
Classification,965,1049,Legal,1,0,0,1,0,1,1,0.154,0.778,0.896,0.609,0.806,1108,905,8192,20.4,0.0059,0,GCP,0,0,HIPAA,0.366,Claude
Code Generation,54,273,Legal,1,1,1,1,1,3,1,0.172,0.847,0.597,0.23,0.803,1461,820,4096,34.8,0.00366,0,Azure,1,1,None,0.359,Mistral
Code Generation,335,855,General,1,1,1,1,1,2,1,0.154,0.771,0.653,0.417,0.501,1360,772,8192,4.6,0.0166,0,OpenAI,1,0,GDPR,0.236,GPT
QA,714,1939,Finance,0,0,0,1,1,5,4,0.129,0.682,0.534,0.741,0.862,858,462,16384,20.0,0.00221,0,AWS,0,0,None,0.545,GPT
Code Generation,363,913,Technical,1,1,1,0,1,4,1,0.051,0.801,0.931,0.188,0.649,1058,610,8192,33.9,0.00717,1,AWS,0,1,None,0.262,GPT
Text Generation,753,1067,General,0,1,1,1,1,5,2,0.058,0.612,0.534,0.305,0.63,1008,967,4096,12.6,0.01807,1,GCP,0,1,GDPR,0.899,GPT
Code Generation,631,963,Medical,0,0,1,1,0,2,5,0.039,0.779,0.444,0.602,0.652,368,76,8192,25.8,0.00345,0,OpenAI,1,0,HIPAA,0.382,Claude
Text Generation,448,1817,Legal,0,1,1,1,1,5,2,0.03,0.682,0.763,0.787,0.944,1456,354,16384,16.6,0.01892,1,Azure,1,1,GDPR,0.816,GPT
Code Generation,151,42,Legal,1,1,0,0,1,1,1,0.23,0.682,0.457,0.827,0.987,1374,43,16384,39.0,0.00589,0,AWS,1,0,None,0.522,Claude
QA,167,723,Finance,0,0,0,0,0,3,5,0.069,0.858,0.844,0.218,0.77,842,61,16384,7.7,0.0193,0,Azure,0,0,GDPR,0.386,Mistral
QA,792,771,Medical,1,1,0,0,1,5,2,0.081,0.601,0.93,0.459,0.828,205,654,8192,14.2,0.01738,1,Azure,0,0,None,0.78,Claude
Code Generation,807,1471,General,1,1,1,1,1,1,5,0.03,0.613,0.15,0.732,0.63,1165,374,4096,31.4,0.00952,0,AWS,0,1,HIPAA,0.437,Mistral
QA,919,1195,Technical,1,0,0,0,1,4,5,0.215,0.888,0.91,0.701,0.903,367,691,4096,21.7,0.01059,1,OpenAI,0,1,GDPR,0.81,GPT
QA,439,720,Medical,0,0,1,1,1,1,4,0.276,0.723,0.113,0.194,0.81,1226,924,16384,22.8,0.01445,1,AWS,0,0,HIPAA,0.198,Mistral
Classification,105,532,General,1,0,0,0,0,2,5,0.192,0.901,0.281,0.683,0.906,829,167,4096,24.9,0.00904,0,OpenAI,0,0,HIPAA,0.165,GPT
Classification,664,104,Technical,0,0,1,1,1,5,2,0.286,0.665,0.723,0.301,0.854,1304,334,8192,13.1,0.00533,0,GCP,1,1,GDPR,0.297,Claude
Classification,526,479,Medical,1,1,0,0,0,2,4,0.288,0.802,0.96,0.566,0.818,185,621,8192,10.4,0.01205,0,GCP,1,0,HIPAA,0.761,GPT
Classification,365,701,Technical,1,0,1,0,0,3,3,0.14,0.965,0.205,0.98,0.873,159,43,8192,21.0,0.01373,1,Azure,0,0,None,0.279,GPT
Summarization,303,837,General,0,0,0,1,1,4,2,0.214,0.921,0.555,0.878,0.967,150,463,4096,4.3,0.00921,0,AWS,0,1,None,0.541,Mistral
Text Generation,622,2006,Finance,0,0,1,1,0,3,1,0.236,0.853,0.852,0.724,0.64,937,436,16384,28.2,0.00926,0,GCP,0,0,None,0.288,GPT
Classification,513,369,General,0,1,0,1,1,2,4,0.105,0.71,0.342,0.494,0.698,1344,643,16384,16.3,0.01465,0,Azure,0,0,None,0.222,Mistral
Text Generation,759,1986,Technical,0,1,1,1,0,3,2,0.176,0.616,0.562,0.136,0.96,201,898,8192,26.4,0.01262,1,Azure,0,1,HIPAA,0.691,GPT
Text Generation,640,678,Finance,0,0,0,0,0,2,3,0.276,0.859,0.455,0.159,0.898,917,247,4096,33.3,0.01615,1,AWS,0,0,HIPAA,0.565,Claude
Text Generation,596,1943,Technical,0,1,1,1,0,4,4,0.272,0.966,0.633,0.116,0.606,723,76,4096,30.3,0.00498,1,Azure,0,0,GDPR,0.528,GPT
Text Generation,573,1565,General,0,0,1,1,1,3,1,0.161,0.819,0.875,0.205,0.692,278,381,4096,30.9,0.00714,0,GCP,1,1,None,0.449,Claude
Classification,603,1172,General,0,1,1,1,0,2,5,0.132,0.987,0.187,0.572,0.893,743,733,16384,35.1,0.01937,1,AWS,1,1,HIPAA,0.38,Claude
Classification,902,453,General,0,1,0,0,0,2,5,0.256,0.661,0.983,0.415,0.716,1306,465,8192,32.9,0.01043,0,AWS,1,1,GDPR,0.662,Claude
QA,321,1932,General,0,0,1,0,0,1,3,0.127,0.635,0.585,0.275,0.98,51,959,4096,16.1,0.01188,1,AWS,1,1,None,0.608,Mistral
Classification,666,1569,General,1,0,1,0,0,2,5,0.081,0.626,0.586,0.308,0.843,918,557,16384,20.8,0.01068,0,Azure,1,0,HIPAA,0.503,Claude
Code Generation,516,1407,Finance,1,0,0,0,1,2,2,0.176,0.601,0.571,0.899,0.728,1360,64,16384,7.4,0.01652,0,GCP,0,1,HIPAA,0.287,Claude
QA,629,1034,Finance,0,0,0,0,1,2,3,0.068,0.627,0.877,0.143,0.524,352,924,8192,12.3,0.0156,1,OpenAI,0,0,HIPAA,0.253,Claude
QA,376,1704,Medical,1,0,0,0,1,2,1,0.017,0.997,0.258,0.22,0.527,423,904,16384,37.9,0.01763,1,AWS,0,0,GDPR,0.649,Claude
Text Generation,90,33,Legal,1,0,0,0,0,5,2,0.287,0.997,0.57,0.1,0.551,1344,551,4096,6.2,0.01594,0,Azure,0,1,None,0.318,Claude
Code Generation,259,2016,Legal,0,0,0,1,0,4,5,0.296,0.803,0.286,0.792,0.571,1435,768,8192,33.6,0.01206,0,OpenAI,0,1,None,0.175,Mistral
Classification,106,1368,Finance,1,1,0,0,0,2,2,0.134,0.839,0.304,0.298,0.783,133,669,8192,36.6,0.01149,0,AWS,1,0,GDPR,0.93,Claude
Text Generation,642,862,Legal,1,1,1,0,1,4,3,0.091,0.612,0.229,0.322,0.904,591,266,16384,35.3,0.01709,1,OpenAI,1,0,None,0.178,GPT
Classification,893,199,Finance,0,0,1,1,0,1,5,0.179,0.813,0.649,0.471,0.658,1055,135,4096,15.6,0.00539,0,AWS,1,1,None,0.388,Claude
QA,563,352,Finance,1,1,0,1,0,3,3,0.284,0.998,0.824,0.303,0.801,1309,397,4096,26.7,0.00736,1,AWS,1,0,HIPAA,0.135,GPT
Summarization,520,1333,Technical,1,0,0,0,0,2,2,0.062,0.885,0.611,0.698,0.578,405,786,8192,37.2,0.01385,1,GCP,1,1,GDPR,0.169,GPT
Classification,419,300,Medical,1,0,0,0,1,2,5,0.032,0.83,0.15,0.361,0.572,1179,381,4096,14.9,0.00653,0,Azure,0,0,HIPAA,0.717,Mistral
Code Generation,221,798,General,1,1,0,1,0,4,2,0.159,0.686,0.746,0.777,0.588,781,425,4096,5.8,0.00591,1,Azure,0,0,HIPAA,0.612,Mistral
QA,301,1533,General,0,1,0,0,1,2,2,0.174,0.714,0.298,0.78,0.718,1421,683,4096,11.2,0.01468,1,OpenAI,1,1,None,0.296,Mistral
Classification,815,303,Medical,0,1,1,0,1,2,1,0.052,0.792,0.91,0.479,0.84,776,233,8192,12.2,0.00764,0,OpenAI,0,0,HIPAA,0.701,Mistral
Summarization,278,403,Medical,0,1,0,1,1,4,1,0.109,0.847,0.645,0.505,0.529,1110,16,8192,33.4,0.00554,0,Azure,1,0,HIPAA,0.973,Claude
Text Generation,969,1197,General,0,0,1,0,0,3,5,0.032,0.749,0.83,0.169,0.687,1472,993,8192,15.2,0.01408,0,GCP,1,1,None,0.543,GPT
Text Generation,668,1524,General,1,1,0,1,1,5,4,0.056,0.725,0.789,0.825,0.691,519,950,8192,11.8,0.00351,0,AWS,0,1,GDPR,0.693,GPT
Text Generation,265,1158,Legal,1,1,0,0,1,5,2,0.098,0.987,0.476,0.123,0.796,145,745,8192,31.0,0.00815,0,Azure,0,1,GDPR,0.804,Claude
QA,770,1348,Medical,1,0,1,1,0,4,2,0.193,0.702,0.826,0.405,0.96,1193,842,8192,37.2,0.00811,0,AWS,0,0,GDPR,0.474,Mistral
Summarization,205,971,General,0,1,1,0,0,5,2,0.021,0.921,0.995,0.105,0.625,1266,271,4096,21.2,0.01329,1,Azure,0,0,GDPR,0.64,Mistral
Text Generation,939,1316,Medical,0,1,0,0,0,1,4,0.057,0.979,0.309,0.818,0.815,381,726,16384,5.3,0.0198,1,AWS,0,1,None,0.746,GPT
Classification,905,228,Legal,0,1,0,1,0,3,2,0.232,0.797,0.336,0.172,0.783,451,669,8192,34.5,0.01061,1,GCP,1,1,GDPR,0.823,Claude
Code Generation,334,177,Medical,0,0,1,1,1,4,2,0.289,0.792,0.252,0.665,0.722,185,241,8192,40.0,0.01627,0,Azure,0,0,HIPAA,0.768,GPT
Summarization,968,329,Legal,0,0,0,0,0,3,1,0.121,0.93,0.293,0.128,0.766,1156,631,16384,17.9,0.0072,1,OpenAI,0,1,GDPR,0.577,Mistral
Summarization,686,804,Finance,1,0,0,0,1,2,5,0.106,0.903,0.277,0.145,0.844,999,181,4096,25.2,0.01121,0,AWS,1,0,HIPAA,0.418,Mistral
Summarization,436,1303,Medical,1,0,1,0,1,3,1,0.114,0.836,0.535,0.498,0.575,1302,722,8192,21.9,0.00604,0,OpenAI,0,1,GDPR,0.46,GPT
Classification,402,1030,Finance,1,0,0,0,1,4,3,0.268,0.98,0.961,0.142,0.744,634,960,8192,8.9,0.01634,1,Azure,0,0,HIPAA,0.221,Mistral
QA,492,1814,Legal,0,0,1,0,0,5,3,0.047,0.614,0.678,0.198,0.996,682,748,4096,26.5,0.01116,0,GCP,0,1,None,0.143,Claude
Code Generation,356,134,Technical,0,1,1,0,1,2,3,0.152,0.899,0.425,0.552,0.909,359,861,4096,19.2,0.00831,1,Azure,1,1,None,0.127,Mistral
Classification,234,772,General,0,1,0,0,1,4,3,0.107,0.911,0.496,0.9,0.776,1022,607,8192,19.7,0.0049,1,Azure,1,0,GDPR,0.19,Claude
Code Generation,305,1948,Legal,1,0,0,0,1,4,2,0.173,0.997,0.949,0.361,0.774,420,425,4096,8.0,0.01653,0,OpenAI,1,0,HIPAA,0.821,GPT
Text Generation,462,1376,Medical,1,1,0,0,1,4,5,0.287,0.745,0.463,0.509,0.547,1143,303,16384,33.8,0.01366,0,AWS,0,1,HIPAA,0.254,Claude
Classification,718,1049,Technical,1,1,1,0,0,2,5,0.215,0.865,0.398,0.448,0.875,744,510,16384,17.7,0.01455,0,AWS,1,0,GDPR,0.201,Mistral
Classification,831,547,Technical,0,1,0,1,1,2,5,0.084,0.665,0.222,0.877,0.791,844,537,16384,25.7,0.008,0,GCP,1,1,HIPAA,0.934,GPT
Text Generation,846,33,Medical,1,0,1,0,0,4,5,0.204,0.946,0.528,0.499,0.727,81,153,4096,20.1,0.01387,0,GCP,0,0,HIPAA,0.983,GPT
Classification,880,122,Finance,1,1,0,1,0,3,3,0.151,0.956,0.307,0.148,0.724,809,371,4096,9.8,0.0159,0,OpenAI,0,1,HIPAA,0.263,Mistral
Classification,51,1662,Technical,1,0,0,1,0,1,5,0.131,0.981,0.676,0.86,0.581,482,100,16384,34.5,0.00276,1,Azure,0,1,None,0.548,Mistral
Summarization,695,2029,Finance,0,0,0,0,0,1,4,0.263,0.671,0.276,0.511,0.955,498,926,8192,34.7,0.00394,0,AWS,1,0,HIPAA,0.972,Claude
Text Generation,649,1076,Medical,1,0,0,0,1,1,5,0.121,0.982,0.503,0.851,0.644,210,876,8192,18.9,0.01896,0,Azure,0,0,HIPAA,0.776,GPT
Code Generation,662,185,Legal,1,0,0,0,0,4,4,0.134,0.638,0.843,0.782,0.552,74,82,8192,27.1,0.01582,0,GCP,1,1,GDPR,0.843,Claude
QA,57,1923,Medical,0,0,1,1,1,2,4,0.043,0.709,0.314,0.848,0.831,232,861,16384,5.7,0.01213,0,OpenAI,1,1,None,0.843,Claude
Text Generation,746,1045,Legal,0,1,0,0,0,4,5,0.205,0.695,0.882,0.613,0.889,1411,82,8192,26.5,0.01613,1,Azure,1,1,GDPR,0.26,Mistral
Code Generation,182,1795,General,0,1,0,1,0,2,5,0.019,0.958,0.101,0.786,0.836,600,893,8192,10.7,0.01927,1,OpenAI,1,0,HIPAA,0.409,GPT
Classification,396,1967,Medical,1,0,0,0,0,1,5,0.282,0.845,0.447,0.518,0.738,82,778,4096,13.5,0.00922,1,Azure,0,0,None,0.853,Mistral
Text Generation,777,1201,Legal,0,1,1,0,0,3,1,0.243,0.799,0.258,0.953,0.97,235,112,8192,29.4,0.00437,1,Azure,1,1,HIPAA,0.93,GPT
Summarization,348,2048,General,1,0,1,0,0,4,4,0.295,0.827,0.613,0.324,0.719,1085,163,16384,27.4,0.00697,1,AWS,1,0,GDPR,0.933,Claude
Summarization,907,36,Finance,1,0,1,1,1,3,5,0.021,0.749,0.378,0.455,0.968,181,322,8192,22.9,0.01376,1,GCP,1,0,None,0.997,GPT
Classification,837,1291,Finance,0,0,1,1,0,1,3,0.247,0.932,0.601,0.18,0.946,357,281,4096,14.8,0.01971,0,OpenAI,0,0,HIPAA,0.207,Claude
Summarization,666,1351,Medical,0,1,1,0,1,1,4,0.039,0.891,0.195,0.784,0.507,1297,809,8192,21.7,0.00489,1,AWS,1,0,GDPR,0.154,Claude
Text Generation,690,1444,Legal,0,1,0,0,0,2,4,0.092,0.777,0.327,0.457,0.912,1102,64,8192,24.2,0.01417,0,OpenAI,1,1,GDPR,0.209,GPT
Code Generation,491,1200,General,0,0,0,0,0,5,3,0.139,0.898,0.358,0.745,0.694,1017,260,16384,11.1,0.00372,1,OpenAI,1,1,None,0.621,Mistral
Code Generation,404,809,Finance,1,0,0,0,0,5,5,0.068,0.929,0.49,0.897,0.826,1493,553,4096,38.8,0.00408,0,AWS,1,1,None,0.483,GPT
Text Generation,614,255,Technical,1,0,1,1,0,3,5,0.03,0.634,0.563,0.263,0.961,1362,889,8192,36.5,0.01815,0,OpenAI,0,1,GDPR,0.755,Claude
Classification,1022,1621,Medical,0,0,0,0,0,4,4,0.106,0.971,0.789,0.577,0.897,923,711,4096,11.0,0.00808,0,GCP,0,0,None,0.512,Mistral
Summarization,119,284,Legal,1,1,1,0,1,1,3,0.11,0.801,0.334,0.758,0.767,644,964,8192,19.8,0.00998,1,AWS,0,0,None,0.373,GPT
Text Generation,808,122,Legal,1,0,0,0,0,3,1,0.096,0.974,0.489,0.903,0.51,925,325,4096,6.6,0.00251,0,GCP,1,1,GDPR,0.936,Mistral
Text Generation,641,1918,Finance,0,1,1,0,0,3,4,0.249,0.883,0.596,0.416,0.607,852,578,16384,14.8,0.01221,1,Azure,0,0,HIPAA,0.755,Claude
Code Generation,300,1938,General,1,1,0,0,1,5,3,0.297,0.719,0.949,0.662,0.536,476,26,8192,9.6,0.01766,1,AWS,0,0,None,0.502,GPT
QA,283,303,Technical,0,1,1,0,1,2,2,0.235,0.806,0.439,0.762,0.754,951,997,4096,32.3,0.00519,0,Azure,0,0,GDPR,0.438,Claude
QA,232,115,Medical,1,1,1,1,0,3,1,0.191,0.741,0.967,0.702,0.704,735,309,16384,6.7,0.00714,0,AWS,0,1,HIPAA,0.56,Claude
Code Generation,178,904,Medical,1,1,1,0,0,3,4,0.261,0.848,0.297,0.632,0.719,466,437,4096,33.2,0.0124,1,AWS,0,1,HIPAA,0.632,Claude
QA,466,1593,General,0,1,1,1,0,4,3,0.143,0.937,0.636,0.945,0.984,740,345,8192,29.5,0.0066,0,AWS,1,1,GDPR,0.7,Claude
QA,116,1023,Technical,0,1,0,1,0,2,4,0.284,0.601,0.253,0.207,0.536,396,823,8192,17.8,0.01683,0,AWS,1,0,GDPR,0.938,Claude
Summarization,279,1435,Finance,1,1,0,0,1,5,5,0.11,0.871,0.216,0.43,0.571,1131,888,16384,13.7,0.01276,1,AWS,0,1,HIPAA,0.467,GPT
QA,1013,157,Technical,0,0,1,0,1,1,1,0.142,0.845,0.311,0.69,0.96,671,608,16384,19.8,0.00249,0,OpenAI,0,0,GDPR,0.703,GPT
Text Generation,975,1134,Technical,1,0,0,0,0,5,1,0.273,0.693,0.975,0.878,0.848,1433,952,8192,6.3,0.01753,1,AWS,1,1,GDPR,0.746,Claude
Classification,930,1040,Finance,0,0,0,1,1,1,4,0.146,0.987,0.923,0.469,0.609,1338,748,16384,39.8,0.00521,1,GCP,0,0,GDPR,0.918,GPT
Classification,897,349,Legal,0,1,0,1,0,4,5,0.118,0.743,0.131,0.788,0.655,207,205,16384,25.4,0.00825,1,GCP,1,1,HIPAA,0.807,Claude
Code Generation,608,1709,Finance,0,1,1,0,0,4,3,0.122,0.77,0.391,0.364,0.635,1331,17,16384,32.0,0.01779,0,OpenAI,1,0,None,0.312,Mistral
Summarization,659,364,Legal,1,0,1,1,0,4,5,0.068,0.687,0.262,0.734,0.501,1430,87,4096,23.4,0.01217,1,AWS,1,0,GDPR,0.161,Mistral
Code Generation,202,779,Medical,1,1,0,1,0,2,5,0.166,0.677,0.475,0.863,0.604,740,743,8192,35.0,0.00942,1,OpenAI,1,1,HIPAA,0.463,GPT
QA,692,2006,Technical,0,1,0,1,0,3,1,0.015,0.898,0.99,0.22,0.502,947,70,16384,15.9,0.0048,1,GCP,1,1,None,0.189,Claude
QA,615,40,Finance,1,1,1,1,1,4,1,0.105,0.777,0.663,0.867,0.607,1447,714,8192,27.2,0.01734,0,AWS,0,1,GDPR,0.543,Claude
Summarization,178,217,Finance,0,0,1,1,0,2,3,0.217,0.912,0.497,0.745,0.56,318,117,16384,12.5,0.00879,0,AWS,0,1,GDPR,0.485,GPT
QA,552,597,Finance,1,0,0,0,1,4,2,0.135,0.889,0.245,0.47,0.994,1288,1000,8192,22.5,0.01171,1,OpenAI,0,1,GDPR,0.604,Claude
Classification,378,1153,General,1,0,0,1,1,3,4,0.259,0.919,0.921,0.709,0.95,526,122,4096,26.8,0.00417,1,OpenAI,1,1,None,0.135,GPT
Classification,416,1952,General,1,1,0,1,1,1,2,0.02,0.756,0.558,0.418,0.927,701,796,16384,22.3,0.0178,1,GCP,1,0,GDPR,0.343,Mistral
QA,451,812,Technical,1,0,1,1,1,3,5,0.148,0.972,0.597,0.773,0.979,737,155,8192,9.7,0.01857,0,AWS,1,1,HIPAA,0.364,GPT
Text Generation,212,1405,General,1,1,1,0,0,2,5,0.127,0.727,0.493,0.748,0.642,540,652,4096,30.4,0.00571,1,AWS,0,1,HIPAA,0.767,Claude
QA,656,775,Legal,0,0,0,0,1,4,5,0.097,0.647,0.369,0.458,0.654,68,423,8192,34.9,0.00991,1,GCP,0,0,None,0.853,GPT
Classification,483,35,Finance,1,1,0,1,0,1,2,0.128,0.905,0.112,0.211,0.653,1423,446,8192,5.2,0.00916,1,OpenAI,0,0,GDPR,0.707,GPT
QA,859,1059,Finance,0,1,0,1,1,2,5,0.279,0.98,0.526,0.824,0.855,1339,384,4096,30.7,0.00898,0,Azure,0,1,HIPAA,0.537,Mistral
Summarization,49,1138,Technical,0,0,0,0,0,2,2,0.218,0.904,0.613,0.976,0.581,1009,199,4096,6.6,0.01425,1,OpenAI,1,1,HIPAA,0.45,Mistral
QA,111,197,General,1,0,0,0,1,1,4,0.294,0.668,0.562,0.191,0.704,1145,383,4096,5.9,0.01343,0,GCP,1,0,HIPAA,0.399,Claude
Classification,152,561,General,0,0,0,0,1,2,1,0.039,0.783,0.449,0.399,0.657,751,77,16384,8.7,0.01835,0,OpenAI,1,1,None,0.833,Claude
Summarization,77,1661,Technical,0,0,1,0,1,5,4,0.079,0.743,0.572,0.677,0.575,116,931,4096,35.7,0.00274,1,AWS,0,1,HIPAA,0.234,Claude
QA,790,1701,Legal,1,1,1,0,1,1,4,0.026,0.816,0.647,0.831,0.875,592,351,4096,31.4,0.01136,1,AWS,1,0,None,0.581,Claude
Text Generation,506,1494,Legal,0,1,0,1,1,4,5,0.126,0.971,0.431,0.57,0.744,333,174,8192,27.9,0.01241,0,AWS,0,1,GDPR,0.662,Mistral
Classification,196,1322,Legal,0,1,0,1,1,3,4,0.232,0.933,0.912,0.461,0.802,1263,914,4096,14.6,0.01312,1,OpenAI,1,0,None,0.633,Mistral
Classification,317,537,Technical,0,0,1,0,0,5,1,0.131,0.815,0.123,0.941,0.829,1002,648,16384,35.4,0.01793,0,OpenAI,1,1,None,0.643,Claude
Classification,372,2001,Legal,0,1,1,0,0,3,4,0.211,0.965,0.56,0.997,0.814,339,903,4096,29.6,0.01405,1,OpenAI,1,0,None,0.645,Mistral
Classification,749,1110,Finance,1,0,1,0,1,2,4,0.075,0.897,0.264,0.585,0.907,543,843,16384,37.5,0.0049,0,Azure,1,0,HIPAA,0.522,GPT
QA,811,950,Technical,0,0,1,1,1,4,1,0.015,0.781,0.693,0.542,0.554,1250,686,16384,16.0,0.00922,0,OpenAI,1,1,None,0.983,Mistral
Text Generation,427,1058,Finance,0,1,1,0,1,4,5,0.18,0.847,0.406,0.839,0.575,1403,161,4096,17.8,0.01645,1,GCP,0,0,None,0.442,GPT
Classification,725,64,Technical,1,1,0,0,0,3,4,0.209,0.781,0.821,0.87,0.624,496,677,4096,10.3,0.00827,0,OpenAI,1,0,HIPAA,0.232,GPT
