task_type,input_token_length,output_token_length,domain,multimodal,structured_input,numerical_reasoning,multi_turn_conversation,grounding_required,creativity_level,response_factuality,hallucination_rate,faithfulness_score,BLEU_score,ROUGE_score,accuracy_score,latency_ms,token_throughput,context_window,memory_usage_GB,cost_per_1K_tokens,on_prem_support,cloud_provider,gpu_availability,fine_tuning_available,compliance_requirements,bias_score,LLM
Classification,176,1938,Technical,1,1,0,1,0,4,3,0.249,0.888,0.643,0.188,0.819,836,205,8192,7.9,0.00241,0,Azure,0,0,HIPAA,0.372,GPT
Code Generation,165,1462,Medical,1,1,1,0,0,3,4,0.172,0.773,0.504,0.401,0.9,140,749,8192,25.1,0.009,1,OpenAI,1,0,None,0.903,Claude
Summarization,180,292,Technical,0,1,0,1,1,3,4,0.101,0.872,0.829,0.838,0.7,220,325,8192,21.3,0.01353,0,Azure,1,0,None,0.872,Mistral
Text Generation,264,984,Technical,1,1,0,0,0,2,2,0.077,0.971,0.681,0.446,0.935,1494,849,4096,39.6,0.00476,0,GCP,0,1,None,0.985,Mistral
QA,506,20,Technical,0,1,0,1,1,2,5,0.033,0.929,0.39,0.594,0.539,890,570,4096,17.9,0.01805,1,Azure,1,0,None,0.282,Mistral
QA,567,423,Medical,1,1,0,1,0,4,1,0.107,0.983,0.641,0.835,0.752,607,233,16384,29.4,0.01489,0,OpenAI,1,1,GDPR,0.104,Mistral
Text Generation,703,1343,Medical,1,1,0,0,0,5,4,0.136,0.709,0.899,0.216,0.968,1493,333,16384,32.9,0.0169,0,GCP,1,0,HIPAA,0.329,Mistral
Summarization,201,2026,General,1,0,0,1,0,5,4,0.115,0.673,0.654,0.824,0.899,1398,653,8192,25.3,0.0096,1,AWS,1,1,GDPR,0.728,GPT
Summarization,273,416,Technical,0,1,0,1,1,4,5,0.256,0.756,0.329,0.944,0.914,790,90,4096,16.5,0.00854,1,AWS,0,1,None,0.56,Mistral
Text Generation,64,1115,Legal,1,0,1,1,1,1,3,0.271,0.659,0.505,0.45,0.62,447,990,16384,7.1,0.00633,1,GCP,0,0,None,0.503,Mistral
QA,164,370,Technical,1,0,0,0,0,1,3,0.111,0.935,0.678,0.741,0.918,1000,36,8192,9.3,0.00562,1,AWS,0,1,HIPAA,0.605,Mistral
Classification,706,1541,Technical,1,0,1,0,0,3,4,0.095,0.689,0.175,0.287,0.803,1252,561,16384,28.7,0.00246,1,Azure,1,1,GDPR,0.476,Mistral
Classification,161,439,Medical,1,1,0,1,1,3,4,0.046,0.938,0.495,0.618,0.929,757,543,8192,36.0,0.01885,1,Azure,0,1,GDPR,0.604,Claude
Classification,211,1937,Finance,1,0,1,1,1,3,5,0.283,0.867,0.561,0.239,0.724,993,380,8192,15.6,0.00748,1,AWS,1,0,GDPR,0.405,Claude
Summarization,999,247,Medical,0,0,0,0,1,3,1,0.195,0.683,0.593,0.643,0.525,796,893,4096,4.2,0.00748,1,OpenAI,1,1,GDPR,0.212,GPT
Summarization,138,1217,Technical,0,0,1,0,0,5,1,0.108,0.843,0.669,0.882,0.904,235,394,8192,14.7,0.0171,0,AWS,0,0,None,0.644,GPT
Code Generation,472,1943,Finance,0,1,1,1,1,2,2,0.148,0.845,0.555,0.804,0.801,606,764,16384,35.1,0.0051,1,AWS,0,1,GDPR,0.323,Mistral
Code Generation,859,31,Medical,1,1,1,0,1,1,3,0.252,0.794,0.849,0.615,0.839,1386,715,16384,24.6,0.00304,1,AWS,1,0,GDPR,0.329,Mistral
QA,488,1573,Medical,1,1,1,0,1,1,5,0.284,0.805,0.163,0.653,0.855,409,315,8192,26.8,0.01632,0,GCP,0,0,HIPAA,0.88,Mistral
QA,876,1243,Medical,0,1,0,1,1,5,2,0.202,0.66,0.941,0.514,0.901,366,659,8192,19.8,0.00572,1,Azure,1,1,HIPAA,0.617,Claude
Code Generation,996,1640,Medical,1,0,0,1,1,2,3,0.261,0.921,0.651,0.165,0.624,1268,989,16384,9.8,0.01226,1,AWS,0,1,HIPAA,0.419,Claude
QA,108,1292,Legal,0,1,0,1,0,1,3,0.243,0.855,0.822,0.412,0.818,141,913,16384,17.3,0.0198,0,OpenAI,1,0,None,0.109,GPT
QA,863,987,General,1,1,1,0,0,5,2,0.268,0.633,0.439,0.389,0.865,178,441,8192,32.9,0.01616,1,AWS,1,0,None,0.476,Mistral
Code Generation,894,1062,General,1,1,0,0,0,4,5,0.018,0.751,0.583,0.565,0.622,256,132,16384,4.9,0.00432,0,OpenAI,0,0,GDPR,0.248,Claude
Summarization,800,144,Medical,0,1,0,1,0,3,2,0.02,0.833,0.837,0.509,0.71,588,167,8192,30.5,0.00261,0,OpenAI,1,0,GDPR,0.129,GPT
Text Generation,267,977,Medical,0,1,0,1,1,4,2,0.258,0.66,0.572,0.901,0.601,1470,166,16384,26.2,0.01093,1,Azure,0,0,None,0.66,Mistral
QA,986,988,Medical,0,0,1,1,0,5,1,0.146,0.874,0.919,0.874,0.927,1326,929,16384,14.8,0.00867,1,OpenAI,0,0,None,0.495,Claude
Summarization,225,1523,Medical,1,1,0,0,0,1,2,0.041,0.965,0.849,0.81,0.771,215,341,16384,14.5,0.0057,0,Azure,0,1,None,0.491,GPT
Summarization,110,1819,Legal,0,1,0,1,0,1,5,0.119,0.864,0.1,0.447,0.751,1422,330,16384,7.4,0.00811,0,Azure,0,0,HIPAA,0.482,Claude
QA,510,692,Technical,1,0,1,0,0,4,5,0.289,0.969,0.922,0.583,0.94,834,728,8192,9.7,0.00412,0,GCP,0,1,HIPAA,0.109,GPT
